jen,東菄鶇倲涷蝀凍鯟崠埬
dong,同仝童僮銅桐峒硐筒瞳罿犝筩潼曈洞侗橦烔挏酮鮦眮蕫穜衕哃絧
jong,中衷忠
jong,蟲沖种盅爞翀
jong,終衆潨螽鼨蔠柊鴤泈
cong,忡浺盅
syong,崇崈
syong,嵩崧娀菘硹
nyong,戎茙駥狨絨
gyong,弓躳躬宫匑
yong,融虫肜瀜
ong,雄熊
myong,瞢夢懜
kyong,穹焪芎匑
gyong,窮藭
byong,馮堸汎芃渢梵
byong,風飌楓猦偑檒
pyong,豐酆蘴灃寷
cong,充珫茺
lyong,隆癃窿霳
kong,空箜崆椌硿悾埪倥涳鵼
gong,公功工疘蚣玒釭魟攻愩碽篢
mong,蒙冡濛艨朦矇饛檬鸏幪罞髳蠓雺霿霚朦懜霥
long,籠豅朧龓瀧聾礱嚨蘢櫳巃襱瓏曨鸗蠪屸
hong,洪鉷訌紅虹仜鴻葒葓谼烘洚渱魟
song,叢藂潨
ong,翁螉蓊
cong,怱忩葱楤聦繱騘囱鍯
tong,通蓪侗恫痌曈俑
jong,葼鬷嵕猣豵鯼椶騣嵸艐蝬堫翪緵稯鬉
bong,蓬篷髼蜂芃韸
hong,烘叿魟谾
ong,
song,檧憽
dong,冬苳笗
dong,彤疼佟炵鼕爞痋鉵浵鉖赨
song,賨琮悰潨淙慒鬃孮誴
nong,農辳噥憹儂膿
gong,攻釭
hong,洚
long,
jong,宗倧
song,鬆
tong,炵
jong,鍾鐘蚣忪蹱彸衳伀橦籦妐炂鈆
lyong,龍躘鸗驡籠蘢
syong,舂摏蹖憃
syong,松凇訟
cong,衝罿憧艟潼褈
yong,容溶滽庸墉鎔鏞銿鄘傭鱅蓉傛褣搈瑢嵱頌槦
byong,封犎葑崶
hyong,胷凶銎洶恟兇訩匈
ong,顒鰅喁
ong,邕雍噰嗈郺澭灉癰罋廱饔壅雝
nyong,醲濃襛穠
jong,重穜緟褈蝩
syong,從从
cong,蹱傭馬
byong,逢縫漨夆捀
pyong,峯鋒丰妦蠭蜂蘴桻烽莑仹
jong,縱蹤樅磫豵熧
nyong,茸襛穠搑榵穁
gyong,蛩邛舼筇輁蛬桏
syong,鱅慵
gyong,恭龔供珙共廾髸
syong,蜙淞凇鬆倯
cong,樅鏦從暰瑽摐鬆
kyong,銎
gyang,江扛杠茳釭矼豇肛玒
mang,厖駹狵尨浝哤牻娏蛖痝
nang,涳噥鬞
cang,囪牎窓堫摐鏦
bang,邦梆垹
hang,栙降缸瓨洚夅跭
bang,胮
lang,瀧
sang,雙艭瀧
bang,龐逄胮舽
hang,肛啌谾舡
ang,胦
kyang,腔羫控椌悾跫涳崆
jang,幢撞橦噇
cang,憃
jang,樁
ang,
sang,淙鬃
ji,支只汥枝祇衼肢胑禔馶氏疻鳷觶榰眵
i,移迻杝鉹箷椸詑簃熪扅衪暆迆栘歋酏匜拸謻蛇虵螔
wi,爲為潙鄬
gwi,嬀潙
hwi,麾噅撝
wi,逶萎覣蜲痿倭委蟡
mi,糜縻蘼醿
hwi,隓墮隳眭觿睢鑴蘳
jwi,鬌錘甀
swi,垂陲圌
lwi,羸
cwi,吹炊
pi,鈹帔鮍披耚狓翍旇秛
bi,陂詖碑羆
swi,隨隋
kwi,虧
kwi,闚窺
gi,竒琦騎鵸弜鬾碕錡
gi,祇示衹岐歧疧蚑忯軝芪汥跂蚔伎
hi,犧羲焁桸巇羛戲曦隵
ki,觭踦崎碕攲
i,宜儀轙涯崖
bi,皮疲郫罷
si,提匙堤禔忯
ni,兒唲婼
li,離籬醨罹璃酈驪樆鸝鵹縭褵蘺离蠡孋漓灕攡黐矖穲謧劙
si,疵骴玼茈胔飺鴜
ji,貲頿鴜鮆訾媊鈭姕觜
gi,羈畸羇掎攲奇妓躸
bi,卑鵯椑裨鞞頁庳錍
bi,陴卑焷脾埤裨蜱螷蠯郫紕
si,絁施葹鍦鉈
si,斯虒榹廝凘磃傂謕鼶蟴螔菥蜤燍禠鐁
ci,差嵯縒
ci,摛螭誺魑黐离彲
mi,彌鸍镾瓕獼擟麊冞瀰
ci,雌姕鈭
ji,知鼅蜘
i,漪猗椅旖禕陭欹犄檹
ji,馳趍池簃篪踟褫誃
swi,眭
wi,危洈峗
hi,詑焁
si,釃簁欐襹褷籭
swi,
nwi,痿
ji,厜觜惢嫢
gwi,槻規鬹摫
jwi,劑臇
cwi,衰夊
jwi,腄箠
jwi,
ci,眵
ji,龇
pi,
wi,欈
si,齹
ji,脂祗泜砥栺鴲疻
i,姨彞寅夷峓恞珆蔩痍荑桋蛦胰鮧羠羨鏔鴺跠洟
si,師鰤蒒篩獅螄
bi,毗比琵芘沘貔豼膍肶蚍枇仳魮鈚阰鵧
ji,咨資粢諮姿齍澬齎
gi,飢机肌虮
ci,鴟鵄胵
ci,絺郗脪瓻訵
ci,郪趑趀蠀
si,茨薋薺餈垐瓷澬
ni,尼柅怩蚭跜呢
ji,墀坻泜遲遟蚳岻荎菭謘莉貾
si,私鋖厶
si,尸鳲屍蓍
gi,鬐耆愭祁鰭鮨
i,伊咿蛜黝黟
li,棃梨蜊蔾犂刕鯬鑗蟍
gyuy,葵鄈楑
jwi,追
gwi,龜螝騩
nyuy,蕤甤緌桵
swi,衰榱
yuy,惟維遺濰壝蓶琟唯
lyuy,纍虆欙瓃鸓儽纝
syuy,綏雖荾荽葰浽奞夊睢濉
gwi,逵夔馗戣鍨騤躨艽頯頄
mi,眉睂嵋湄鶥楣瑂矀黴麋蘪郿薇葿
bi,悲
juy,錐隹騅萑鵻
syuy,誰脽
wi,帷
bi,邳鉟岯魾頁
pi,丕伾秠駓頁豾髬魾鉟
hyuy,倠婎睢眭
jwi,鎚椎槌顀
cuy,推蓷
ji,胝疷秪氐
pi,紕悂
juy,嶉檇
kwi,巋蘬
i,狋
hi,咦忾屎
ji,之臸芝ㄓ
i,飴怡弬媐异瓦鏔圯貽巸頤詒沶宧姬眙瓵
si,時旹塒鼭榯蒔鰣
i,疑嶷觺
si,思恖司罳伺絲緦禗覗犬蕬偲楒
ci,輺飔
gi,其期旗綦綨萁蜝琪麒騏淇錤藄棊櫀碁璂鯕蘄祺禥踑
si,詩邿齝呞
ni,而栭陾陑髵峏輀胹洏鮞耏咡誀鴯
ki,欺娸魌僛抾
gi,姬朞稘基箕萁諅其錤居諆
si,詞祠柌辭辤辝
li,釐貍狸氂嫠剺梩犛倈艃孷筣斄
ji,葘甾湽茬輺鍿鶅緇椔鯔
hi,僖歖熙嬉禧媐譆瞦熹嘻娭誒
i,醫毉譩噫
ci,癡齝笞痴
ji,治持莉
ci,蚩嗤妛媸
si,慈礠鶿濨兹
ji,兹孳嵫孜滋嗞鎡孖鼒鰦仔鶿稵
si,茬
si,漦
ki,抾
si,
mi,微薇癓
hwi,揮煇輝暉徽翬褘攵楎幑瀈
wi,幃韋闈圍違湋囗鍏潿婔
pi,霏妃菲婓騑裶
bi,猆飛扉緋非馡騛騑誹餥
bi,肥腓淝痱蜰蟦賁裴
wi,威葳隇蝛鰄媁楲
gi,祈頎旂畿崎碕圻刏俟幾蚚玂蟣岓
gi,機譏蘄嘰磯鞿饑禨幾鐖僟璣刏
hi,希晞莃鵗睎稀豨桸悕俙欷
i,依郼衣譩
i,沂凒
wi,巍犩
gwi,歸騩
kwi,蘬
o,魚漁齬鋙衙
co,初
syo,書鵨瑹舒紓
gyo,居据裾琚鶋車蜛崌椐涺腒
gyo,渠璩磲蕖籧淭醵腒螶蟝豦蘧鐻璖懅
yo,余蜍藇餘輿旟鵌璵艅畬歟與譽嬩舁擧妤伃予狳鸒雓
syo,胥稰楈藇諝湑蝑揟
co,疽岨砠趄苴沮狙蛆雎蒩伹坥
syo,鉏鋤耡豠
co,攄筡摴
syo,梳綀踈釃疋
hyo,虚驉歔嘘魖
syo,徐俆
o,於扵箊淤唹
jo,豬猪瀦櫫藸
lyo,臚閭廬蘆櫚驢藘爈櫖
jo,諸櫧藷蠩
jo,除躇儲涂篨宁著滁蒢屠藸
nyo,如蕠洳鴽茹
jo,且蛆苴沮
kyo,虚墟袪阹椐胠魼
jo,菹沮
syo,蜍
nyo,袽帤蒘挐
u,虞愚娛湡堣嵎髃禺隅鰅鍝澞齵鸆
cu,芻犓
myu,無毋瞴膴蕪誣巫莁璑鷡蝥无譕墲鵐憮
u,于迂盂邘雩竽玗芋汙杅釪骬謣
hyu,訏吁雩欨盱姁扜荂旴虖
gyu,衢劬軥氍朐臞癯鴝鸜灈躣忂鼩蘧斪句蠷瞿欋葋翵翑蚼胊絇戵鑺姁
nyu,儒獳濡襦懦嚅鱬嬬繻顬臑醹
syu,須鬚嬃頁繻需娶緰蕦鑐隃
ju,株誅邾鼄蛛跦袾列鴸
cu,貙
syu,殊銖洙茱殳陎杸
yu,逾踰窬隃鄃覦俞歈愉揄褕瑜崳羭蝓榆茰堬牏渝媮瘉螸蕍萮舀騟
kyu,區鰸驅敺嶇軀摳
ju,朱珠侏絑秼咮鴸鮢硃
cu,趨趍鯫
lyu,慺蔞氀瞜摟鷜鏤婁瘻膢
byu,扶芙符颫鳧榑苻蚨夫枹瓿枎坿泭夫羽玸
syu,雛鶵媰
ju,搊
